Episode Number,Rating
1,4.1
2,4.2
3,4.2
4,4.2
5,4.2
6,4.2
7,4.1
8,4.2
9,4.1
10,4.1
11,4.1
12,4.2
13,4.2
14,4.2
15,4.1
16,4.2
17,4.3
18,4.0
19,4.4
20,4.2
21,4.3
22,4.2
23,4.3
24,4.6
25,4.2
26,4.5
27,4.3
28,4.3
29,4.3
30,4.4
31,4.2
32,4.4
33,4.3
34,4.3
35,4.4
36,4.5
37,4.7
38,4.3
39,4.4
40,4.4
41,4.4
42,4.4
43,4.5
44,4.6
45,4.4
46,3.9
47,3.9
48,4.5
49,4.4
50,4.2
51,4.2
52,4.3
53,4.4
54,4.2
55,4.0
56,4.1
57,4.0
58,4.1
59,4.1
60,4.1
61,4.3
62,4.2
63,4.3
64,4.4
65,4.4
66,4.2
67,4.4
68,4.1
69,4.2
70,4.2
71,4.3
72,4.2
73,4.2
74,4.3
75,4.1
76,4.3
77,4.3
78,4.2
79,4.3
80,4.3
81,4.3
82,4.3
83,4.5
84,4.6
85,4.6
86,4.7
87,4.4
88,4.4
89,4.4
90,4.6
91,4.4
92,4.3
93,4.3
94,4.6
95,4.5
96,4.2
97,4.2
98,4.1
99,4.1
100,4.0
101,4.0
102,4.1
103,4.2
104,4.2
105,4.2
106,4.1
107,4.1
108,4.2
109,4.2
110,4.3
111,4.3
112,4.4
113,4.3
114,4.2
115,4.3
116,4.4
117,4.4
118,4.4
119,4.5
120,4.3
121,4.5
122,4.5
123,4.4
124,4.3
125,4.6
126,4.7
127,4.7
128,4.5
129,4.7
130,4.5
131,4.3
132,4.2
133,4.2
134,4.3
135,4.3
136,4.2
137,4.2
138,4.3
139,4.1
140,4.2
141,4.1
142,4.0
143,4.2
144,4.2
145,4.3
146,4.5
147,4.3
148,4.4
149,4.3
150,4.5
151,4.8
152,4.7
153,4.4
154,4.4
155,4.3
156,4.3
157,4.3
158,4.3
159,4.5
160,4.3
161,4.2
162,4.3
163,4.3
164,4.5
165,4.3
166,4.4
167,4.3
168,4.2
169,4.4
170,4.4
171,4.2
172,4.3
173,4.5
174,4.5
175,4.5
176,4.4
177,4.3
178,4.4
179,4.4
180,4.5
181,4.5
182,4.7
183,4.6
184,4.4
185,4.6
186,4.3
187,4.3
188,4.3
189,4.7
190,4.5
191,4.4
192,4.7
193,4.5
194,4.6
195,4.5
196,4.4
197,4.5
198,4.4
199,4.5
200,4.3
201,4.3
202,4.6
203,4.3
204,4.4
205,4.4
206,4.4
207,4.3
208,4.2
209,4.2
210,4.2
211,4.0
212,4.3
213,4.1
214,4.3
215,3.7
216,3.3
217,4.1
218,3.9
219,4.1
220,4.1
221,4.3
222,4.1
223,4.4
224,4.2
225,3.8
226,4.1
227,4.6
228,4.5
229,4.4
230,4.4
231,4.4
232,4.4
233,4.5
234,4.8
235,4.8
236,4.8
237,4.5
238,4.5
239,4.5
240,4.6
241,4.5
242,4.6
243,4.8
244,4.6
245,4.6
246,4.5
247,4.6
248,4.6
249,4.5
250,4.5
251,4.6
252,4.6
253,4.6
254,4.6
255,4.6
256,4.6
257,4.6
258,4.7
259,4.3
260,4.6
261,4.6
262,4.6
263,4.4
264,4.7
265,4.5
266,4.5
267,4.5
268,4.5
269,4.5
270,4.6
271,4.5
272,4.8
273,4.8
274,4.8
275,4.7
276,4.6
277,4.7
278,4.8
279,3.7
280,3.7
281,3.7
282,3.8
283,3.5
284,4.3
285,4.4
286,4.4
287,4.4
288,4.6
289,3.5
290,3.7
291,4.4
292,4.7
293,4.6
294,4.6
295,4.6
296,4.5
301,4.7
302,4.6
303,3.8
304,4.6
305,4.6
306,4.6
307,4.7
308,4.7
309,4.8
310,4.6
311,4.7
312,4.9
313,4.7
314,4.7
315,4.7
316,4.7
317,3.9
318,4.3
319,4.4
320,4.7
321,4.6
322,4.6
323,4.7
324,4.7
325,4.7
326,4.3
327,4.1
328,4.1
329,3.9
330,3.9
331,3.9
332,4.0
333,4.0
334,4.1
335,4.2
336,3.8
337,4.6
338,4.7
339,4.5
340,4.4
341,4.4
342,4.4
343,4.3
344,4.2
345,4.2
346,4.3
347,4.4
348,4.5
349,4.4
350,4.4
351,4.3
352,4.4
353,4.7
354,4.1
355,4.4
356,4.4
357,4.4
358,4.4
359,4.3
360,4.5
361,4.5
362,4.6
363,4.4
364,4.4
365,4.3
366,4.4
367,4.6
368,4.6
369,4.5
370,4.5
371,4.4
372,4.6
373,4.6
374,4.5
375,4.5
376,4.6
377,4.9
378,4.6
379,4.5
380,4.7
381,4.6
382,4.1
383,4.1
384,4.5
385,4.4
386,4.4
387,4.5
388,4.6
389,4.4
390,4.4
391,4.5
392,4.6
393,4.5
394,4.7
395,4.5
396,4.9
397,4.7
398,4.7
399,4.7
400,4.7
401,4.6
402,4.7
403,4.8
404,4.8
405,4.8
406,3.6
407,3.9
408,4.5
409,4.4
410,4.4
411,4.4
412,4.6
413,4.5
414,4.5
415,4.7
416,4.7
417,4.7
418,4.5
419,4.3
420,4.5
421,4.5
422,4.6
423,4.6
424,4.5
425,4.5
426,4.1
427,4.0
428,3.7
429,3.9
430,4.2
431,4.6
432,4.6
433,4.6
434,4.5
435,4.6
436,4.6
437,4.6
438,4.4
439,4.3
440,4.6
441,4.6
442,4.7
443,4.6
444,4.5
445,4.4
446,4.6
447,4.6
448,4.3
449,4.6
450,4.7
451,4.7
452,4.5
453,4.4
454,3.4
455,3.8
456,3.3
457,3.7
458,3.9
459,4.8
460,4.7
461,4.7
462,4.6
463,4.7
464,4.5
465,4.7
466,4.4
467,4.8
468,4.7
469,4.6
470,4.7
471,4.7
472,4.6
473,4.7
474,4.8
475,4.7
476,4.6
477,4.5
478,4.8
479,4.7
480,4.8
481,4.8
482,4.5
483,4.6
484,4.8
485,4.9
486,4.7
487,4.7
488,4.7
489,4.8
490,4.7
491,4.5
492,3.8
493,4.6
494,4.6
495,4.5
496,4.6
497,4.5
498,4.4
499,4.4
500,4.4
501,4.5
502,4.5
503,4.6
504,4.7
505,4.8
506,4.6
507,4.6
508,4.6
509,4.4
510,4.6
511,4.7
512,4.7
513,4.5
514,4.5
515,4.7
516,4.8
517,4.9
518,4.7
519,4.4
520,4.5
521,4.9
522,4.8
523,4.6
524,4.6
525,4.4
526,4.5
527,4.6
528,4.4
529,4.4
530,4.4
531,4.4
532,4.5
533,4.5
534,4.4
535,4.5
536,4.5
537,4.7
538,4.6
539,4.5
540,4.5
541,4.6
542,3.4
543,4.5
544,4.4
545,4.2
546,4.6
547,4.5
548,4.5
549,4.4
550,4.1
551,4.2
552,4.2
553,4.7
554,4.6
555,4.4
556,4.6
557,4.5
558,4.5
559,4.3
560,4.3
561,4.3
562,4.2
563,4.1
564,4.0
565,4.5
566,4.5
567,4.6
568,4.6
569,4.3
570,4.5
571,4.6
572,4.6
573,4.6
574,4.6
575,4.2
576,4.3
577,4.1
578,3.9
579,4.4
580,4.4
581,4.5
582,4.4
583,4.3
584,4.4
585,4.6
586,4.4
587,4.6
588,4.6
589,4.3
590,4.1
591,4.5
592,4.3
593,4.6
594,4.6
595,4.5
596,4.4
597,4.6
598,4.4
599,4.4
600,4.3
601,4.1
602,4.3
603,4.6
604,4.3
605,4.2
606,4.3
607,4.6
608,4.4
609,4.6
610,4.3
611,4.2
612,4.3
613,4.6
614,4.2
615,4.5
616,4.8
617,4.6
618,4.4
619,4.6
620,4.4
621,4.5
622,4.5
623,4.3
624,4.7
625,4.3
626,3.9
627,3.7
628,4.0
629,4.5
630,4.3
631,4.3
632,4.4
633,4.3
634,4.5
635,4.3
636,4.3
637,4.3
638,4.6
639,4.5
640,4.3
641,4.4
642,4.5
643,4.5
644,4.4
645,4.3
646,4.6
647,4.4
648,4.1
649,4.4
650,4.5
651,4.3
652,4.2
653,4.1
654,4.4
655,4.5
656,4.1
657,4.0
658,4.3
659,4.4
660,4.3
661,4.7
662,4.7
663,4.8
664,4.3
665,4.3
666,4.4
667,4.5
668,4.5
669,4.4
670,4.4
671,4.3
672,4.4
673,4.2
674,4.0
675,4.5
676,4.5
677,4.8
678,4.8
679,4.6
680,4.5
681,4.4
682,4.3
683,4.6
684,4.4
685,4.5
686,4.2
687,4.5
688,4.3
689,4.3
690,4.4
691,4.0
692,4.4
693,4.0
694,4.2
695,4.4
696,4.4
697,4.6
698,4.7
699,4.5
700,4.3
701,4.7
702,4.7
703,4.7
704,4.7
705,4.7
706,4.8
707,3.9
708,4.4
709,4.2
710,4.6
711,4.1
712,4.4
713,4.5
714,4.0
715,4.6
716,4.5
717,4.4
718,3.8
719,4.6
720,4.3
721,4.3
722,4.5
723,4.6
724,4.5
725,4.6
726,4.7
727,4.4
728,4.5
729,4.3
730,4.2
731,3.8
732,4.0
733,4.5
734,3.9
735,4.5
736,4.6
737,4.6
738,4.7
739,4.6
740,4.3
741,4.1
742,4.2
743,4.5
744,4.7
745,4.7
746,4.6
747,3.9
748,4.0
749,3.9
750,4.0
751,4.0
752,4.4
753,4.4
754,4.5
755,4.5
756,4.4
757,4.3
758,4.2
759,4.3
760,4.4
761,4.3
762,4.5
763,4.5
764,4.6
765,4.3
766,4.4
767,4.8
768,4.4
769,4.6
770,4.6
771,4.4
772,4.6
773,4.4
774,4.2
775,4.3
776,4.5
777,4.2
778,4.3
779,4.4
780,4.1
781,4.1
782,4.2
783,4.4
784,4.4
785,4.5
786,4.7
787,4.5
788,4.1
789,4.4
790,4.4
791,4.0
792,4.3
793,4.6
794,4.4
795,4.3
796,4.3
797,4.4
798,4.2
799,4.5
800,4.4
801,4.3
802,4.4
803,4.5
804,4.6
805,4.5
806,4.6
807,3.5
808,4.7
809,4.3
810,4.6
811,4.3
812,4.4
813,4.5
814,4.5
815,4.5
816,4.6
817,4.8
818,4.7
819,4.6
820,4.4
821,4.4
822,4.4
823,4.3
824,4.5
825,4.8
826,4.6
827,4.4
828,4.4
829,4.5
830,4.4
831,4.5
832,4.7
833,4.8
834,4.5
835,4.5
836,4.4
837,4.5
838,4.5
839,4.6
840,4.5
841,4.6
842,4.6
843,4.5
844,4.6
845,4.6
846,4.5
847,4.4
848,4.4
849,4.7
850,4.5
851,4.5
852,4.5
853,4.5
854,4.3
855,4.4
856,4.6
857,4.5
858,4.4
859,4.3
860,4.4
861,4.4
862,4.7
863,4.4
864,4.6
865,4.5
866,4.5
867,4.4
868,4.7
869,4.6
870,4.8
871,4.5
872,4.5
873,4.5
874,4.4
875,4.5
876,4.6
877,4.7
878,4.1
879,4.3
880,4.5
881,3.4
882,3.8
883,4.0
884,4.0
885,4.1
886,4.4
887,4.0
888,4.4
889,4.0
890,4.3
891,4.6
892,4.8
893,4.7
894,4.7
895,3.7
896,3.7
897,4.6
898,4.1
899,4.5
900,4.3
901,4.1
902,4.1
903,3.9
904,3.7
905,4.3
906,4.4
907,4.0
908,4.5
909,4.6
910,4.4
911,4.5
912,4.5
913,4.5
914,4.5
915,4.5
916,4.6
917,4.5
918,4.3
919,4.5
920,4.3
921,4.1
922,4.4
923,4.4
924,4.5
925,4.7
926,4.4
927,4.3
928,4.3
929,4.3
930,4.1
931,4.3
932,4.4
933,4.5
934,4.6
935,4.5
936,4.6
937,4.5
938,4.5
939,4.4
940,4.7
941,4.5
942,4.5
943,4.5
944,4.4
945,4.6
946,4.3
947,4.3
948,4.3
949,4.5
950,4.5
951,4.5
952,4.5
953,4.4
954,4.4
955,4.6
956,4.7
957,4.9
958,4.7
959,4.5
960,4.4
961,4.6
962,4.6
963,4.7
964,4.7
965,4.7
966,4.6
967,4.7
968,4.9
969,4.7
970,4.4
971,4.5
972,4.8
973,4.5
974,4.7
975,4.6
976,4.6
977,4.7
978,4.7
979,4.4
980,4.6
981,4.5
982,4.9
983,4.4
984,4.2
985,4.2
986,3.8
987,4.3
988,4.5
989,4.5
990,4.4
991,4.1
992,4.6
993,4.3
994,4.5
995,4.8
996,4.5
997,4.3
998,4.5
999,4.3
1000,4.5
1001,4.4
1002,4.2
1003,4.3
1004,4.6
1005,4.3
1006,4.2
1007,3.9
1008,4.3
1009,4.1
1010,4.4
1011,4.3
1012,4.2
1013,4.5
1014,4.4
1015,4.8
1016,4.4
1017,4.8
1018,4.1
1019,4.2
1020,4.3
1021,4.3
1022,4.3
1023,4.2
1024,4.3
1025,4.4
1026,4.6
1027,4.5
1028,4.6
1029,3.9
1030,4.2
1031,4.3
1032,4.3
1033,4.7
1034,4.3
1035,4.2
1036,4.4
1037,4.2
1038,4.4
1039,4.3
1040,4.5
1041,4.2
1042,4.0
1043,4.3
1044,4.6
1045,4.4
1046,4.6
1047,4.3
1048,4.5
1049,4.7
1050,4.3
1051,4.6
1052,4.3
1053,4.4
1054,4.4
1055,4.2
1056,4.4
1057,4.5
1058,4.2
1059,4.3
1060,4.6
1061,4.7
1062,4.7
1063,4.3
1064,4.4
1065,4.4
1066,4.7
1067,4.6
1068,4.5
1069,4.6
1070,4.7
1071,4.5
1072,4.5
1073,3.9
1074,4.5
1075,4.0
1076,4.5
1077,4.5
1078,4.6
1079,4.5
1080,4.6
1081,4.6
1082,4.6
1083,4.4
1084,4.4
1085,4.5
1086,4.6
1087,4.6
1088,4.5
1089,4.7
1090,4.5
1091,4.5
1092,4.5
1093,4.7
1094,4.4
1095,4.4
1096,4.6
1097,4.5
1098,4.4
1099,4.5
1100,4.7
1101,4.5
1102,4.4
1103,4.5
1104,4.5
1105,4.5
1106,4.4
1107,4.2
1108,4.2
1109,4.6
1110,4.3
1111,4.4
1112,4.8
1113,4.4
1114,4.7
1115,4.7
1116,4.4
1117,4.3
1118,4.6
1119,4.6
1120,4.6
